feature;importance;horizon
wind_speed_10m;0,7525616227639101;2
hour;0,06929520117581232;2
wind_gusts_10m;0,05342684974672774;2
wind_direction_10m;0,014715349384359585;2
wind_speed_10m_lag_1;0,013994773545688654;2
wind_gust_ratio;0,008577131050261831;2
vapour_pressure_deficit;0,006626330179337686;2
wind_speed_10m_lag_2;0,006146502114713325;2
wind_gusts_10m_std_3h;0,006040958660865083;2
temperature_2m_std_3h;0,005284508557242902;2
wind_gusts_10m_lag_1;0,004359992190039761;2
wind_speed_10m_std_3h;0,004216895711575401;2
wind_speed_10m_mean_3h;0,003774188158407073;2
dew_point_2m;0,003727927212871011;2
cloud_cover_mid;0,0036900884624997744;2
wind_speed_10m_lag_3;0,0033333271867039094;2
month;0,0033043161641768876;2
cloud_cover;0,003081546492173757;2
apparent_temperature;0,002776934886316948;2
relative_humidity_2m;0,0027108437357389447;2
wind_gusts_10m_mean_3h;0,0026436905363652063;2
precipitation_std_3h;0,0024823048003967366;2
wind_gusts_10m_lag_3;0,0024447714082719116;2
temperature_2m;0,0022662610573186484;2
temperature_2m_lag_3;0,0022555430138892297;2
wind_gusts_10m_lag_2;0,0019624117145125106;2
cloud_cover_high;0,001715217051689982;2
cloud_cover_low;0,0016413814481313043;2
temperature_2m_mean_3h;0,0012818858725449779;2
temperature_2m_lag_2;0,0012682675607920968;2
temperature_2m_lag_1;0,0010787916500074335;2
rain;0,0010053839393611604;2
precipitation_mean_3h;0,000971107211003005;2
precipitation_lag_3;0,0009283404061358098;2
day_of_week;0,0009270295963054073;2
precipitation_lag_1;0,0009257620576647827;2
precipitation_lag_2;0,0006904275950646494;2
snow_depth;0,0006523293846498005;2
weather_code;0,0006331185919704849;2
precipitation;0,00048789575948300634;2
snowfall;9,279196501912395e-05;2
showers;0,0;2
wind_speed_10m;0,6146134233580024;4
hour;0,15921674217337042;4
wind_direction_10m;0,04392594253396145;4
vapour_pressure_deficit;0,017975214448492708;4
wind_gusts_10m;0,014961721805305625;4
wind_gust_ratio;0,010759314138345494;4
month;0,010458852732880691;4
wind_speed_10m_lag_1;0,008875183414194906;4
cloud_cover_mid;0,007979259509923457;4
wind_gusts_10m_std_3h;0,007418885454430385;4
relative_humidity_2m;0,00716878941733051;4
dew_point_2m;0,007120005886902015;4
cloud_cover;0,0070562519929920665;4
temperature_2m_std_3h;0,006184044048611843;4
wind_speed_10m_std_3h;0,00595314262603618;4
temperature_2m_lag_3;0,005950649460259838;4
temperature_2m_lag_2;0,00535450438411434;4
temperature_2m;0,005224462794985461;4
wind_speed_10m_lag_3;0,005039823743374431;4
wind_gusts_10m_lag_3;0,004625430832640511;4
cloud_cover_high;0,004366570398701531;4
apparent_temperature;0,004050348937997495;4
wind_speed_10m_mean_3h;0,004044120758866375;4
wind_speed_10m_lag_2;0,0037935794227953105;4
cloud_cover_low;0,003727265233525896;4
day_of_week;0,0036058981873132796;4
temperature_2m_lag_1;0,0026196965753735642;4
wind_gusts_10m_lag_2;0,002259984300314536;4
temperature_2m_mean_3h;0,002224130792544535;4
wind_gusts_10m_lag_1;0,002221292953045658;4
snow_depth;0,0020221994154787423;4
wind_gusts_10m_mean_3h;0,0019771451542452073;4
precipitation_std_3h;0,0014813574337152581;4
precipitation_mean_3h;0,0013339115735445828;4
precipitation_lag_3;0,0013179301239133248;4
precipitation_lag_2;0,001048597670280067;4
rain;0,0008141288803862017;4
weather_code;0,00044325278969364174;4
precipitation_lag_1;0,0003954315387585936;4
precipitation;0,00038587923538986195;4
snowfall;5,633867961578281e-06;4
showers;0,0;4
wind_speed_10m;0,4675785997163361;6
hour;0,22395556539284364;6
wind_direction_10m;0,07161747128869103;6
vapour_pressure_deficit;0,02414212022381631;6
month;0,018473264064208815;6
wind_gusts_10m;0,014074295895061878;6
dew_point_2m;0,013496351473634618;6
wind_gust_ratio;0,011973165997388974;6
relative_humidity_2m;0,011457809725035436;6
cloud_cover_mid;0,011438451704162583;6
temperature_2m_lag_3;0,00908613168678808;6
apparent_temperature;0,007988539484370923;6
cloud_cover_high;0,007878858777325446;6
cloud_cover;0,007560785149386912;6
wind_gusts_10m_std_3h;0,006862202314207353;6
wind_speed_10m_std_3h;0,006500247329873629;6
temperature_2m;0,006294138194000197;6
cloud_cover_low;0,006246131777596691;6
temperature_2m_std_3h;0,006170429718649481;6
wind_speed_10m_lag_1;0,006070674934891575;6
wind_gusts_10m_mean_3h;0,005598278343887126;6
wind_speed_10m_mean_3h;0,005391970471167132;6
day_of_week;0,005329376740056239;6
temperature_2m_mean_3h;0,004931116391725816;6
temperature_2m_lag_2;0,004886128653402231;6
wind_gusts_10m_lag_3;0,004575262842686751;6
wind_speed_10m_lag_3;0,004329161915369077;6
wind_speed_10m_lag_2;0,00405906454101861;6
temperature_2m_lag_1;0,0034290159559756716;6
snow_depth;0,003312679798300376;6
wind_gusts_10m_lag_2;0,0030367920894094663;6
precipitation_std_3h;0,0025732160431409952;6
wind_gusts_10m_lag_1;0,002407671422903898;6
precipitation_mean_3h;0,002395041527163372;6
rain;0,0014035471858909185;6
precipitation_lag_3;0,0012141630913431176;6
precipitation_lag_1;0,001022332134777832;6
precipitation;0,0003912954266789209;6
precipitation_lag_2;0,00036143242596950643;6
weather_code;0,0003529796109844364;6
snowfall;0,0001342385398788632;6
showers;0,0;6
